,metadata,sent,mvi,inf,xobj
1885,Plato (0059) - Phaedrus (012),καὶ μὲν δὴ βελτίονί σοι προσήκει γενέσθαι ἐμοὶ πειθομένῳ ἢ ἐραστῇ .,προσήκει,γενέσθαι,σοι;ἐμοὶ
1886,Plato (0059) - Symposium (011),"καλῷ οὖν δοκεῖ μοι τεκμηρίῳ ἁπαλότητα ἀποφαίνειν , ὅτι οὐκ ἐπὶ σκληροῦ βαίνει , ἀλλʼ ἐπὶ μαλθακοῦ . τῷ αὐτῷ δὴ καὶ ἡμεῖς χρησόμεθα τεκμηρίῳ περὶ ἔρωτα ὅτι ἁπαλός .",δοκεῖ,ἀποφαίνειν,τεκμηρίῳ
1887,Demosthenes (0014) - Against Theocrines (058),ἱκανῶς γάρ μοι δοκεῖτε μεμαθηκέναι .,δοκεῖτε,μεμαθηκέναι,μοι
1888,Plato (0059) - Laws (034),οὐδαμῇ γὰρ οὔτε ὅσιον οὔτʼ ἀληθὲς τὸ ἄν . δοκοῦμεν δέ μοι νῦν ἤδη μάλιστα μετρίως διειλέχθαι τῷ φιλαιτίῳ τῆς ἀμελείας πέρι θεῶν . ναί . τῷ γε βιάζεσθαι τοῖς λόγοις ὁμολογεῖν αὐτὸν μὴ λέγειν ὀρθῶς ·,δοκοῦμεν,διειλέχθαι,φιλαιτίῳ
1889,Demosthenes (0014) - Against Aristocrates (023),"ἀλλʼ ὡς οὐδὲ πιστὸς εἰς τὸν ἔπειτα χρόνον , ἀκούσατέ μου , καὶ σκοπεῖτε , ἂν ὑμῖν ὀρθῶς ἐξετάζειν δοκῶ .",δοκῶ,ἐξετάζειν,ὑμῖν
1890,Plato (0059) - Laws (034),"τὴν δὲ συνουσίαν εἶναι τούτοις καὶ τοὺς λόγους περὶ νόμων ἀεὶ τῆς τε οἰκείας πόλεως πέρι , καὶ ἐὰν ἄλλοθι πυνθάνωνταί τι περὶ τῶν τοιούτων διαφέρον , καὶ δὴ καὶ περὶ μαθημάτων , ὁπόσʼ ἂν ἐν ταύτῃ τῇ σκέψει δοκῇ συμφέρειν μαθοῦσι μὲν εὐαγέστερον γίγνεσθαι , μὴ μαθοῦσι δὲ σκοτωδέστερα τὰ περὶ νόμους αὐτοῖς φαίνεσθαι καὶ ἀσαφῆ .",δοκῇ;συμφέρειν,συμφέρειν;γίγνεσθαι,μαθοῦσι;μαθοῦσι
1891,Thucydides (0003) - History (001),"ὡς δʼ οὐκ ἐπείθοντο , οἱ μὲν Κερκυραῖοι ̔ ἔστι δʼ ἰσθμὸς τὸ χωρίον ̓ ἐπολιόρκουν τὴν πόλιν , Κορίνθιοι δʼ , ὡς αὐτοῖς ἐκ τῆς *̓ επιδάμνου ἦλθον ἄγγελοι ὅτι πολιορκοῦνται , παρεσκευάζοντο στρατείαν , καὶ ἅμα ἀποικίαν ἐς τὴν *̓ επίδαμνον ἐκήρυσσον ἐπὶ τῇ ἴσῃ καὶ ὁμοίᾳ τὸν βουλόμενον ἰέναι ·",ἐκήρυσσον,ἰέναι,ὁμοίᾳ
1892,Demosthenes (Apollodorus) (0014) - Against Stephanus 1 (045),ἆρʼ οὖν ἂν ὑμῖν αἰσχυνθῆναι δοκεῖ τὴν τοῦ τὰ ψευδῆ μαρτυρεῖν δόξαν ὁ τὴν τοῦ κλέπτης φανῆναι μὴ φυγών ;,δοκεῖ,αἰσχυνθῆναι;φανῆναι,ὑμῖν
1893,Plato (0059) - Philebus (010),"οὐ γὰρ οὖν . οὐκοῦν ἐν μὲν τῇ τοῦ Διὸς ἐρεῖς φύσει βασιλικὴν μὲν ψυχήν , βασιλικὸν δὲ νοῦν ἐγγίγνεσθαι διὰ τὴν τῆς αἰτίας δύναμιν , ἐν δʼ ἄλλοις ἄλλα καλά , καθʼ ὅτι φίλον ἑκάστοις λέγεσθαι . μάλα γε . τοῦτον δὴ τὸν λόγον ἡμᾶς μή τι μάτην δόξῃς , ὦ Πρώταρχε , εἰρηκέναι , ἀλλʼ ἔστι τοῖς μὲν πάλαι ἀποφηναμένοις ὡς ἀεὶ τοῦ παντὸς νοῦς ἄρχει σύμμαχος ἐκείνοις .",δόξῃς,εἰρηκέναι,ἀποφηναμένοις
1894,Plato (0059) - Philebus (010),"πρὸς δὲ αὖ τοῖς μνήμην τινὰ δοκεῖ τίς μοι δεδωκέναι θεῶν ἡμῖν . πῶς δὴ καὶ τίνων ; λόγων ποτέ τινων πάλαι ἀκούσας ὄναρ ἢ καὶ ἐγρηγορὼς νῦν ἐννοῶ περί τε ἡδονῆς καὶ φρονήσεως , ὡς οὐδέτερον αὐτοῖν ἐστι τἀγαθόν , ἀλλὰ ἄλλο τι τρίτον , ἕτερον μὲν τούτων , ἄμεινον δὲ ἀμφοῖν . καίτοι τοῦτό γε ἂν ἐναργῶς ἡμῖν φανῇ νῦν , ἀπήλλακται μὲν ἡδονὴ τοῦ νικᾶν ·",δοκεῖ;δεδωκέναι,δεδωκέναι,μοι;ἡμῖν
1895,Isocrates (0010) - Panathenaicus (021),"τοῖς μὲν γὰρ ἐκτίσειν τὸ καταγνωσθὲν ὕπεισιν , οἱ δʼ οὐδέποτʼ ἂν τὴν φύσιν μεταβάλοιεν . οὐ μὴν ἐπὶ τούτοις ἀθυμήσας περιεῖδον ἐμαυτὸν ἄδοξον οὐδʼ ἀφανῆ παντάπασι γενόμενον , ἀλλʼ ἐπειδὴ τοῦ πολιτεύεσθαι διήμαρτον , ἐπὶ τὸ φιλοσοφεῖν καὶ πονεῖν καὶ γράφειν ἃ διανοηθείην κατέφυγον , οὐ περὶ μικρῶν τὴν προαίρεσιν ποιούμενος οὐδὲ περὶ τῶν ἰδίων συμβολαίων οὐδὲ περὶ ὧν ἄλλοι τινὲς ληροῦσιν , ἀλλὰ περὶ τῶν *̓ ελληνικῶν καὶ βασιλικῶν καὶ πολιτικῶν πραγμάτων , διʼ ἃ προσήκειν ᾠόμην μοι τοσούτῳ μᾶλλον τιμᾶσθαι τῶν ἐπὶ τὸ βῆμα παριόντων , ὅσῳ περ περὶ μειζόνων καὶ καλλιόνων ἢ κεῖνοι τοὺς λόγους ἐποιούμην . ὧν οὐδὲν ἡμῖν ἀποβέβηκεν . καίτοι πάντες ἴσασι τῶν μὲν ῥητόρων τοὺς πολλοὺς οὐχ ὑπὲρ τῶν τῇ πόλει συμφερόντων , ἀλλʼ ὑπὲρ ὧν αὐτοὶ λήψεσθαι προσδοκῶσι , δημηγορεῖν τολμῶντας , ἐμὲ δὲ καὶ τοὺς ἐμοὺς οὐ μόνον τῶν κοινῶν ἀπεχομένους μᾶλλον τῶν ἄλλων , ἀλλὰ καὶ τῶν ἰδίων εἰς τὰς τῆς πόλεως χρείας ὑπὲρ τὴν δύναμιν τὴν ἡμετέραν αὐτῶν δαπανωμένους , ἔτι δὲ τοὺς μὲν ἢ λοιδορουμένους ἐν ταῖς ἐκκλησίαις περὶ μεσεγγυήματος σφίσιν αὐτοῖς ἢ λυμαινομένους τοὺς συμμάχους ἢ τῶν ἄλλων ὃν ἂν τύχωσι συκοφαντοῦντας , ἐμὲ δὲ τῶν λόγων ἡγεμόνα τούτων γεγενημένον , τῶν παρακαλούντων τοὺς *̔́ελληνας ἐπί τε τὴν ὁμόνοιαν τὴν πρὸς ἀλλήλους καὶ τὴν στρατείαν τὴν ἐπὶ τοὺς βαρβάρους , καὶ τῶν συμβουλευόντων ἀποικίαν ἐκπέμπειν κοινῇ πάντας ἡμᾶς ἐπὶ τοσαύτην χώραν καὶ τοιαύτην , περὶ ἧς ὅσοι περ ἀκηκόασιν ὁμολογοῦσιν ἡμᾶς τε , εἰ σωφρονήσαιμεν καὶ παυσαίμεθα τῆς πρὸς ἀλλήλους μανίας , ταχέως ἂν ἄνευ πόνων καὶ κινδύνων κατασχεῖν αὐτήν , ἐκείνην τε ῥᾳδίως ἂν ἅπαντας δέξασθαι τοὺς ἐνδεεῖς ἡμῶν ὄντας τῶν ἐπιτηδείων ·",προσήκειν;συμφερόντων;συμβουλευόντων,τιμᾶσθαι,τοσούτῳ
1896,Isocrates (0010) - Areopagiticus (018),"δανεισαμένων γὰρ τῶν ἐν ἄστει μεινάντων ἑκατὸν τάλαντα παρὰ Λακεδαιμονίων εἰς τὴν πολιορκίαν τῶν τὸν Πειραιᾶ κατασχόντων , ἐκκλησίας γενομένης περὶ ἀποδόσεως τῶν χρημάτων , καὶ λεγόντων πολλῶν ὡς δίκαιόν ἐστι διαλύειν τὰ πρὸς Λακεδαιμονίους μὴ τοὺς πολιορκουμένους ἀλλὰ τοὺς δανεισαμένους , ἔδοξε τῷ δήμῳ κοινὴν ποιήσασθαι τὴν ἀπόδοσιν .",ἔδοξε,ποιήσασθαι,δήμῳ
1897,Xenophon (0032) - Cyropaedia (007),"σὺ , ἔφη , τῶν ἄρχων , ὑπόμεινον προστάξας τοῖς ἡγεμόσι τῶν σῶν στρατιωτῶν ἐξοπλίζειν αὐτούς .",προστάξας,ἐξοπλίζειν,ἡγεμόσι
1898,Isocrates (0010) - Panathenaicus (021),"ἐπειδὴ δὲ διεξιοῦσιν ἡμῖν ἐδόκει καλῶς ἔχειν καὶ προσδεῖσθαι τελευτῆς μόνον , ἔδοξέ μοι μεταπέμψασθαί τινα τῶν ἐμοὶ μὲν πεπλησιακότων , ἐν ὀλιγαρχίᾳ δὲ πεπολιτευμένον , προῃρημένον δὲ Λακεδαιμονίους ἐπαινεῖν , ἵνʼ εἴ τι παρέλαθεν ἡμᾶς ψεῦδος εἰρημένον , ἐκεῖνος κατιδὼν δηλώσειεν ἡμῖν . ἐλθὼν δʼ ὁ κληθεὶς καὶ διαναγνοὺς τὸν λόγον ̔ τὰ γὰρ μεταξὺ τί δεῖ λέγοντα διατρίβειν ̓ ;",ἐδόκει;ἔδοξέ;ἐπαινεῖν,ἔχειν;μεταπέμψασθαί,ἡμῖν
1899,Plato (0059) - Protagoras (022),"_ δοκεῖ οὖν σοι , ἔφη , ταῦτα ἐκείνοις ὁμολογεῖσθαι ; _ φαίνεται ἔμοιγε "" καὶ ἅμα μέντοι ἐφοβούμην μὴ τὶ λέγοι "" ἀτάρ ἔφην ἐγώ , σοὶ οὐ φαίνεται ;",δοκεῖ,ὁμολογεῖσθαι,ἐκείνοις
1900,Xenophon (0032) - On the Cavalry Commander (012),"ἢν δὲ δή σοι ταῦτα πάντα ἐξησκημένοι ὦσιν οἱ ἱππεῖς , δεῖ δήπου καὶ τάξιν τινὰ ἐπίστασθαι αὐτοὺς ἐξ ἧς καλλίστας μὲν θεοῖς πομπὰς πέμψουσι , κάλλιστα δὲ ἱππάσονται , ἄριστα δὲ μαχοῦνται , ἢν δέῃ , ῥᾷστα δὲ καὶ ἀταρακτότατα ὁδοὺς πορεύσονται καὶ διαβάσεις περάσουσιν . ᾗ τοίνυν χρώμενοι τάξει δοκοῦσιν ἄν μοι ταῦτα κάλλιστα διαπράττεσθαι , ταύτην νῦν ἤδη πειράσομαι δηλοῦν .",δοκοῦσιν,διαπράττεσθαι,μοι
1901,Lysias (0540) - On A Wound By Premeditation (004),"ὁ δʼ εἰς τοῦτο βαρυδαιμονίας ἥκει , ὥστε οὐκ αἰσχύνεται τραύματʼ ὀνομάζων τὰ ὑπώπια καὶ ἐν κλίνῃ περιφερόμενος καὶ δεινῶς προσποιούμενος διακεῖσθαι ἕνεκα πόρνης ἀνθρώπου , ἣν ἔξεστιν αὐτῷ ἀναμφισβητήτως ἔχειν ἐμοὶ ἀποδόντι τἀργύριον . καὶ φησὶ μὲν δεινῶς ἐπιβουλευθῆναι καὶ πρὸς ἅπανθʼ ἡμῖν ἀμφισβητεῖ , ἐξὸν δʼ ἐκ τῆς ἀνθρώπου βασανισθείσης τὸν ἔλεγχον ποιήσασθαι οὐκ ἠθέλησεν ·",ἔξεστιν;ἐξὸν,ἔχειν,αὐτῷ;ἐμοὶ
1902,Thucydides (0003) - History (001),"κοινῇ δὲ ἤδη τὰ πράγματα τιθέμενοι ἐψηφίσαντο κήρυκα καὶ πρεσβείαν παρʼ *̓αθηναίων μὴ προσδέχεσθαι , ἢν μὴ ἐκ Πελοποννήσου ἐξίωσι τὰ τείχη ἐκλιπόντες , καὶ μὴ ξυμβαίνειν τῳ μηδὲ πολεμεῖν ἀλλʼ ἢ ἅμα . καὶ τά τε ἄλλα θυμῷ ἔφερον καὶ ἐς τὰ ἐπὶ Θρᾴκης χωρία καὶ ὡς Περδίκκαν ἔπεμψαν ἀμφότεροι πρέσβεις , καὶ ἀνέπεισαν Περδίκκαν ξυνομόσαι σφίσιν . οὐ μέντοι εὐθύς γε ἀπέστη τῶν *̓αθηναίων , ἀλλὰ διενοεῖτο , ὅτι καὶ τοὺς *̓αργείους ἑώρα ·",ἐξίωσι;ξυμβαίνειν,ξυμβαίνειν;πολεμεῖν,τῳ
1903,Isocrates (0010) - Plataicus (012),"τὰ μὲν γὰρ ἄλλα τρόπαια πόλει πρὸς πόλιν γέγονεν , ἐκεῖνα δʼ ὑπὲρ ἁπάσης τῆς *̔ελλάδος πρὸς ὅλην τὴν ἐκ τῆς *̓ασίας δύναμιν ἕστηκεν . ἃ Θηβαῖοι μὲν εἰκότως ἀφανίζουσι , τὰ γὰρ μνημεῖα τῶν τότε γενομένων αἰσχύνη τούτοις ἐστίν , ὑμῖν δὲ προσήκει διασῴζειν ·",προσήκει,διασῴζειν,ὑμῖν
1904,Plato (0059) - Lysis (020),"_ σφόδρα γε . _ οὐκοῦν ἐὰν ἀπολλύηται τὰ κακά , ἅ γε μὴ τυγχάνει ὄντα κακά , τί προσήκει τοῖς κακοῖς συναπόλλυσθαι ; _ οὐδέν . _ ἔσονται ἄρα αἱ μήτε ἀγαθαὶ μήτε κακαὶ ἐπιθυμίαι καὶ ἐὰν ἀπόληται τὰ κακά .",προσήκει,συναπόλλυσθαι,κακοῖς
1905,Xenophon (0032) - Constitution of the Lacedaemonians (010),"καταμαθών γε μὴν ὁ Λυκοῦργος καὶ ὅτι ἀπὸ τῶν σίτων οἱ μὲν διαπονούμενοι εὖχροί τε καὶ εὔσαρκοι καὶ εὔρωστοί εἰσιν , οἱ δʼ ἄπονοι πεφυσημένοι τε καὶ αἰσχροὶ καὶ ἀσθενεῖς ἀναφαίνονται , οὐδὲ τούτου ἠμέλησεν , ἀλλʼ ἐννοῶν ὅτι καὶ ὅταν αὐτός τις τῇ ἑαυτοῦ γνώμῃ φιλοπονῇ , ἀρκούντως τὸ σῶμα ἔχων ἀναφαίνεται , ἐπέταξε τὸν ἀεὶ πρεσβύτατον ἐν τῷ γυμνασίῳ ἑκάστῳ ἐπιμελεῖσθαι ὡς μήποτε καὶ ἐμοὶ μὲν οὐδʼ ἐν τούτῳ σφαλῆναι δοκεῖ .",δοκεῖ,σφαλῆναι,ἐμοὶ;τούτῳ
1906,Isocrates (0010) - Panathenaicus (021),"τὸ δὲ μηδὲν τῶν αὐτῶν συμβαίνειν τοῖς ὀρθῶς καὶ δικαίως πράττουσι καὶ τοῖς ἀσελγῶς τε καὶ κακῶς , τίνι τῶν ὀρθῶς λογιζομένων οὐκ ἂν εἰκότως ταῦτα γίγνεσθαι δόξειεν ;",συμβαίνειν;δόξειεν,συμβαίνειν;γίγνεσθαι,πράττουσι
1907,Lysias (0540) - For Polystratus (020),"καὶ εἰ μὲν ξένος τις ἐλθὼν ὑμᾶς ἢ χρήματα ᾔτει ἢ εὐεργέτης ἀναγραφῆναι ἠξίου , ἔδοτε ἂν αὐτῷ · ἡμῖν δὲ οὐ δώσετε ἡμᾶς αὐτοὺς ἐπιτίμους ὑμῖν γενέσθαι ;",δώσετε,γενέσθαι,ὑμῖν
1908,Isocrates (0010) - To Philip (020),"ἐπεὶ νῦν γε τίς οὐκ ἂν εἰκότως τὰ συμβεβηκότα θαυμάσειε καὶ καταφρονήσειεν ἡμῶν , ὅπου παρὰ μὲν τοῖς βαρβάροις , οὓς ὑπειλήφαμεν μαλακοὺς εἶναι καὶ πολέμων ἀπείρους καὶ διεφθαρμένους ὑπὸ τῆς τρυφῆς , ἄνδρες ἐγγεγόνασιν οἳ τῆς *̔ελλάδος ἄρχειν ἠξίωσαν , τῶν δʼ *̔ελλήνων οὐδεὶς τοσοῦτον πεφρόνηκεν ὥστʼ ἐπιχειρῆσαι τῆς *̓ασίας ἡμᾶς ποιῆσαι κυρίους , ἀλλὰ τοσοῦτον αὐτῶν ἀπολελειμμένοι τυγχάνομεν , ὥστʼ ἐκεῖνοι μὲν οὐκ ὤκνησαν οὐδὲ προϋπάρξαι τῆς ἔχθρας τῆς πρὸς τοὺς *̔́ελληνας , ἡμεῖς δʼ οὐδʼ ὑπὲρ ὧν κακῶς ἐπάθομεν ἀμύνεσθαι τολμῶμεν αὐτούς , ἀλλʼ ὁμολογούντων ἐκείνων ἐν ἅπασι τοῖς πολέμοις μήτε στρατιώτας ἔχειν μήτε στρατηγοὺς μήτʼ ἄλλο μηδὲν τῶν εἰς τοὺς κινδύνους χρησίμων , ἀλλὰ ταῦτα πάντα παρʼ ἡμῶν μεταπεμπομένων , εἰς τοῦθʼ ἥκομεν ἐπιθυμίας τοῦ κακῶς ἡμᾶς αὐτοὺς ποιεῖν , ὥστʼ ἐξὸν ἡμῖν τἀκείνων ἀδεῶς ἔχειν πρὸς ἡμᾶς τʼ αὐτοὺς περὶ μικρῶν πολεμοῦμεν , καὶ τοὺς ἀφισταμένους τῆς ἀρχῆς τῆς βασιλέως συγκαταστρεφόμεθα , καὶ λελήθαμεν ἡμᾶς αὐτοὺς ἐνίοτε μετὰ τῶν πατρικῶν ἐχθρῶν τοὺς τῆς αὐτῆς συγγενείας μετέχοντας ἀπολλύναι ζητοῦντες . διὸ καὶ σοὶ νομίζω συμφέρειν οὕτως ἀνάνδρως διακειμένων τῶν ἄλλων προστῆναι τοῦ πολέμου τοῦ πρὸς ἐκεῖνον . προσήκει δὲ τοῖς μὲν ἄλλοις τοῖς ἀφʼ *̔ηρακλέους πεφυκόσι καὶ τοῖς ἐν πολιτείᾳ καὶ νόμοις ἐνδεδεμένοις ἐκείνην τὴν πόλιν στέργειν , ἐν ᾗ τυγχάνουσι κατοικοῦντες , σὲ δʼ ὥσπερ ἄφετον γεγενημένον ἅπασαν τὴν *̔ελλάδα πατρίδα νομίζειν , ὥσπερ ὁ γεννήσας ὑμᾶς , καὶ κινδυνεύειν ὑπὲρ αὐτῆς ὁμοίως ὥσπερ ὑπὲρ ὧν μάλιστα σπουδάζεις . ἴσως δʼ ἄν τινες ἐπιτιμῆσαί μοι τολμήσειαν τῶν οὐδὲν ἄλλο δυναμένων ἢ τοῦτο ποιεῖν , ὅτι σὲ προειλόμην παρακαλεῖν ἐπί τε τὴν στρατείαν τὴν ἐπὶ τοὺς βαρβάρους καὶ τὴν ἐπιμέλειαν τὴν τῶν *̔ελλήνων , παραλιπὼν τὴν ἐμαυτοῦ πόλιν .",συμβεβηκότα;ἐξὸν;συμφέρειν;προσήκει,ἔχειν,ἡμῖν
1909,Demosthenes (0014) - On the Crown (018),"ἐγὼ δέ σοι λέγω , ὅτι τῶν πολιτευομένων παρὰ τοῖς *̔́ελλησι διαφθαρέντων ἁπάντων , ἀρξαμένων ἀπὸ σοῦ , ἔμʼ οὔτε καιρὸς οὔτε φιλανθρωπία λόγων οὔτʼ ἐπαγγελιῶν μέγεθος οὔτʼ ἐλπὶς οὔτε φόβος οὔτʼ ἄλλʼ οὐδὲν ἐπῆρεν οὐδὲ προηγάγετο ὧν ἔκρινα δικαίων καὶ συμφερόντων τῇ πατρίδι οὐδὲν προδοῦναι , οὐδʼ , ὅσα συμβεβούλευκα πώποτε τουτοισί , ὁμοίως ὑμῖν ὥσπερ ἂν τρυτάνη ῥέπων ἐπὶ τὸ λῆμμα συμβεβούλευκα , ἀλλʼ ἀπʼ ὀρθῆς καὶ δικαίας καὶ ἀδιαφθόρου τῆς ψυχῆς ·",συμφερόντων;συμβεβούλευκα;συμβεβούλευκα,προδοῦναι,πατρίδι
1910,Herodotus (0016) - Histories (001),"μαθὼν δέ μιν *̓αρτάβανος ὁ πάτρως , ὃς τὸ πρῶτον γνώμην ἀπεδέξατο ἐλευθέρως οὐ συμβουλεύων Ξέρξῃ στρατεύεσθαι ἐπὶ τὴν *̔ελλάδα , οὗτος ὡνὴρ φρασθεὶς Ξέρξην δακρύσαντα εἴρετο τάδε .",συμβουλεύων,στρατεύεσθαι,Ξέρξῃ
1911,Plato (0059) - Hippias Major (025),"οὐ γὰρ ἄν που ἄλλως ἀμφότεραί γε καλαὶ ἦσαν καὶ ἑκατέρα . ἀποκρίνου ἐμοὶ ὡς ἐκείνῳ . ἀποκρίνομαι , καὶ ἐμοὶ δοκεῖ ἔχειν ὡς λέγεις . εἰ ἄρα τι αὗται αἱ ἡδοναὶ ἀμφότεραι πεπόνθασιν , ἑκατέρα δὲ μή , οὐκ ἂν τούτῳ γε τῷ παθήματι εἶεν καλαί .",δοκεῖ,ἔχειν,ἐμοὶ
1912,Xenophon (0032) - Hellenica (001),"ἡμεῖς γὰρ ὑμᾶς κακὸν μὲν οὐδὲν πώποτε ἐποιήσαμεν , μετεσχήκαμεν δὲ ὑμῖν καὶ ἱερῶν τῶν σεμνοτάτων καὶ θυσιῶν καὶ ἑορτῶν τῶν καλλίστων , καὶ συγχορευταὶ καὶ συμφοιτηταὶ γεγενήμεθα καὶ συστρατιῶται , καὶ πολλὰ μεθʼ ὑμῶν κεκινδυνεύκαμεν καὶ κατὰ γῆν καὶ κατὰ θάλατταν ὑπὲρ τῆς κοινῆς ἀμφοτέρων ἡμῶν σωτηρίας τε καὶ ἐλευθερίας . πρὸς θεῶν πατρῴων καὶ μητρῴων καὶ συγγενείας καὶ κηδεστίας καὶ ἑταιρίας , πάντων γὰρ τούτων πολλοὶ κοινωνοῦμεν ἀλλήλοις , αἰδούμενοι καὶ θεοὺς καὶ ἀνθρώπους παύσασθε ἁμαρτάνοντες εἰς τὴν πατρίδα , καὶ μὴ πείθεσθε τοῖς ἀνοσιωτάτοις τριάκοντα , οἳ ἰδίων κερδέων ἕνεκα ὀλίγου δεῖν πλείους ἀπεκτόνασιν *̓αθηναίων ἐν ὀκτὼ μησὶν ἢ πάντες Πελοποννήσιοι δέκα ἔτη πολεμοῦντες . ἐξὸν δʼ ἡμῖν ἐν εἰρήνῃ πολιτεύεσθαι , οὗτοι τὸν πάντων αἴσχιστόν τε καὶ χαλεπώτατον καὶ ἀνοσιώτατον καὶ ἔχθιστον καὶ θεοῖς καὶ ἀνθρώποις πόλεμον ἡμῖν πρὸς ἀλλήλους παρέχουσιν .",ἐξὸν,πολιτεύεσθαι,ἡμῖν;εἰρήνῃ
1913,Demosthenes (0014) - Against Meidias (021),"καὶ ἴστε γε τοῦθʼ ὅτι βουλόμενοι ἀγωνίζεσθαι ξένον οὐκ ἐδώκαθʼ ἁπλῶς τῶν χορηγῶν οὐδενὶ προσκαλέσαντι τοὺς χορευτὰς σκοπεῖν , ἀλλʼ ἐὰν μὲν καλέσῃ , πεντήκοντα δραχμάς , ἐὰν δὲ καθέζεσθαι καθέζεσθαι κελεύσῃ , χιλίας ἀποτίνειν ἐτάξατε .",ἐδώκαθʼ,σκοπεῖν,προσκαλέσαντι
1914,Aeschines (0026) - The Speech on the Embassy (002),"συνέβαινε δέ , ὅτε τὴν προτέραν ἐπρεσβεύομεν πρεσβείαν , ἐμοὶ μὲν μετὰ τῶν συμπρέσβεων ἀπιέναι δεῦρο , Φιλίππῳ δʼ ἐπὶ Θράκην ἐξιέναι , πρὸς δʼ ἡμᾶς ὡμολογηκέναι , ἕως ἂν ὑμεῖς περὶ τῆς εἰρήνης βουλεύσησθε , μὴ ἐπιβήσεσθαι μεθʼ ὅπλων Χερρονήσου .",συνέβαινε;ἀπιέναι,ἀπιέναι;ἐξιέναι;ὡμολογηκέναι,ἐμοὶ;Φιλίππῳ
1915,Herodotus (0016) - Histories (001),διὰ τοῦτο μὲν οὐκ ἔξεστι Θηβαίων οὐδενὶ αὐτόθι ἐγκατακοιμηθῆναι .,ἔξεστι,ἐγκατακοιμηθῆναι,οὐδενὶ
1916,Isaeus (0017) - On The Estate Of Pyrrhus (003),"καὶ τί αὐτὸν ἔδει καταφανῶς καὶ ὁτῳοῦν ἀπέχθεσθαι τῶν οἰκείων , ἐξόν , εἴπερ ἦν ἠγγυημένος τὴν ἀδελφὴν τὴν Νικοδήμου , τὴν θυγατέρα τὴν ἐκ ταύτης ἀποφανθεῖσαν εἶναι εἰς τοὺς φράτορας εἰσαγαγόντι ὡς οὖσαν γνησίαν ἑαυτῷ , ἐπὶ ἅπαντι τῷ κλήρῳ ἐπίδικον καταλιπεῖν αὐτήν , καὶ ἐπισκῆψαι τῶν γιγνομένων λτἐκγτ τῆς θυγατρὸς παίδων εἰσαγαγεῖν ὑὸν ἑαυτῷ ; δῆλον μὲν ;",ἐξόν;ἐπισκῆψαι,εἰσαγαγεῖν,ἑαυτῷ
1917,Demosthenes (0014) - For the Liberty of the Rhodians (015),"συμβήσεται γὰρ ὑμῖν , ἐὰν ἃ χρὴ βουλεύσησθʼ ὑπὲρ αὐτοῦ , τὰς παρὰ τῶν διαβαλλόντων τὴν πόλιν ἡμῶν βλασφημίας ἔργῳ μετὰ δόξης καλῆς ἀπολύσασθαι .",συμβήσεται,ἀπολύσασθαι,ἔργῳ
1918,Xenophon (0032) - Memorabilia (002),τὸ γὰρ τοὺς νόμους αὐτοὺς τοῖς παραβαίνουσι τὰς τιμωρίας ἔχειν βελτίονος ἢ κατʼ ἄνθρωπον νομοθέτου δοκεῖ μοι εἶναι .,δοκεῖ,ἔχειν,παραβαίνουσι
1919,Plato (0059) - Gorgias (023),"δοκεῖ οὖν σοι , Σώκρατες , καλῶς ἔχειν ἄνθρωπος ἐν πόλει οὕτως διακείμενος καὶ ἀδύνατος ὢν ἑαυτῷ βοηθεῖν ;",δοκεῖ,ἔχειν,πόλει
1920,Plato (0059) - Phaedo (004),"ἐμοὶ γὰρ δοκεῖ ὁμοίως λέγεσθαι ταῦτα ὥσπερ ἄν τις περὶ ἀνθρώπου ὑφάντου πρεσβύτου ἀποθανόντος λέγοι τοῦτον τὸν λόγον , ὅτι οὐκ ἀπόλωλεν ὁ ἄνθρωπος ἀλλʼ ἔστι που σῶς , τεκμήριον δὲ παρέχοιτο θοἰμάτιον ὃ ἠμπείχετο αὐτὸς ὑφηνάμενος ὅτι ἐστὶ σῶν καὶ οὐκ ἀπόλωλεν , καὶ εἴ τις ἀπιστοίη αὐτῷ , ἀνερωτῴη πότερον πολυχρονιώτερόν ἐστι τὸ γένος ἀνθρώπου ἢ ἱματίου ἐν χρείᾳ τε ὄντος καὶ φορουμένου , ἀποκριναμένου δή ὅτι πολὺ τὸ τοῦ ἀνθρώπου , οἴοιτο ἀποδεδεῖχθαι ὅτι παντὸς ἄρα μᾶλλον ὅ γε ἄνθρωπος σῶς ἐστιν , ἐπειδὴ τό γε ὀλιγοχρονιώτερον οὐκ ἀπόλωλεν . τὸ δʼ οἶμαι , ὦ οὐχ οὕτως ἔχει ·",δοκεῖ,λέγεσθαι,ἐμοὶ
